IndiceBTCMtR,LiquidezMedida,CostofTrade,time
3288584.584061706,9.882994825018999,41144.67815450939,2020-12-17T18:14:10Z
3261501.983766281,10.528913638931,46407.737537777095,2020-12-17T18:15:11Z
3244952.710345576,8.735624008816,44825.69027103776,2020-12-17T18:16:12Z
3219664.782299704,9.020686610476,52392.13347031654,2020-12-17T18:17:12Z
3227127.948461906,7.529721827955,48855.87971048722,2020-12-17T18:18:13Z
3228584.1732866038,8.198424475102,43431.94917087953,2020-12-17T18:19:14Z
3238039.052065369,6.677425759448,42447.87812924557,2020-12-17T18:20:15Z
3255251.165017151,6.516616424305,41612.544820000185,2020-12-17T18:21:16Z
3257890.974665287,6.678429434988,37599.29355436094,2020-12-17T18:22:18Z
3259419.3577498957,9.345067852746,40351.669034156825,2020-12-17T18:23:19Z
3270349.6903694253,10.442318881364,46691.9691488092,2020-12-17T18:24:20Z
3266152.732014516,8.794993283001,40698.787368274396,2020-12-17T18:25:21Z
3273097.802290316,11.715513117407,40501.97072751173,2020-12-17T18:26:22Z
3270435.8018250004,8.513437913986,41793.51038124389,2020-12-17T18:27:24Z
3270540.3869224973,8.27958064465,38519.701706729895,2020-12-17T18:28:25Z
3264273.881025335,9.35430292048,39583.41164801072,2020-12-17T18:29:26Z
3262650.1879073353,9.855070421011,39892.25604183497,2020-12-17T18:30:27Z
3264230.455969951,9.170065761844,40815.54468628698,2020-12-17T18:31:28Z
3269907.957091459,10.456638230571,41069.95279675084,2020-12-17T18:32:29Z
3283152.487163592,8.55810416166,38084.31632822625,2020-12-17T18:33:29Z
3281874.886744432,9.573485855372999,41371.73981962715,2020-12-17T18:34:30Z
3285588.3560831416,6.454430798328,41245.807838950896,2020-12-17T18:35:31Z
3282388.883582706,10.318704812714,41825.62171137748,2020-12-17T18:36:32Z
3289591.5154660023,8.482474416352,40875.668857177145,2020-12-17T18:37:32Z
3295404.365115914,8.163860582735,42903.97159690096,2020-12-17T18:38:33Z
3306455.342668837,9.552555206802001,43350.93080979311,2020-12-17T18:39:34Z
3305092.2167085255,9.381483330859,41945.464084671774,2020-12-17T18:40:35Z
3304418.4111578213,8.406706245662999,42402.49894549859,2020-12-17T18:41:36Z
3303087.721159092,7.655351767024,42671.14514780769,2020-12-17T18:42:36Z
3307224.495543809,8.010262634658,42620.694829411135,2020-12-17T18:43:37Z
3309880.8688671733,7.77561745204,42070.89697390428,2020-12-17T18:44:38Z
3311523.3697306835,10.025111307872,47475.57449330182,2020-12-17T18:45:39Z
3307714.6645989115,9.112330324728,48280.96480745996,2020-12-17T18:46:39Z
3309839.4828961683,7.17579218,48027.504500287556,2020-12-17T18:47:40Z
3304980.6517459345,5.27224004,50752.55391678922,2020-12-17T18:48:41Z
3294033.5147862104,9.14906929,54906.684622885194,2020-12-17T18:49:41Z
3304552.29516308,6.0509151900000004,49347.8508920307,2020-12-17T18:50:42Z
3304336.988394959,10.42855054,52978.89011764075,2020-12-17T18:51:42Z
3310837.952814322,4.5071090400000005,52758.69457737063,2020-12-17T18:52:43Z
3298020.2784318994,11.363718700206,47262.09275337963,2020-12-17T18:53:44Z
3317113.8152794647,7.09981891,48062.18114498012,2020-12-17T18:54:44Z
3309615.52799894,11.655360233935,47468.2697747554,2020-12-17T18:55:45Z
3312656.583321389,8.25316942671,49327.453877165535,2020-12-17T18:56:45Z
3316829.2603101465,8.980675913209,49281.99610225371,2020-12-17T18:57:46Z
3318060.860633505,9.1096403908,49302.94267646506,2020-12-17T18:58:46Z
3319914.6421139184,9.354886571839,50628.33669402904,2020-12-17T18:59:47Z
3320995.041056681,9.53162996,54148.62124297419,2020-12-17T19:00:48Z
3310077.8123645806,10.949079687268,46715.33852656143,2020-12-17T19:01:48Z
3312212.7455091975,11.137892728574,46534.50850351418,2020-12-17T19:02:49Z
3312487.3833537498,8.376346972616,47966.83345583128,2020-12-17T19:03:50Z
3310597.7330759913,8.4128257516,48723.85060663753,2020-12-17T19:04:51Z
3307074.7773898724,10.824655150449,47107.05069164748,2020-12-17T19:05:52Z
3313968.4454258997,8.169839020846,50099.588700222645,2020-12-17T19:06:53Z
3338469.5686070165,9.920041758466999,50667.85921994828,2020-12-17T19:07:54Z
3346566.349206158,9.865310873049001,49639.22401204495,2020-12-17T19:08:54Z
3354391.5612430386,9.92581066,52364.07624381129,2020-12-17T19:09:55Z
3340469.4958315915,10.857054902468,48142.18169051886,2020-12-17T19:10:56Z
3336757.3897790504,8.910273546258,49292.4514770853,2020-12-17T19:11:57Z
3336032.5396877537,10.383145227912,49208.57161699178,2020-12-17T19:12:57Z
3339468.6126702735,8.441055051845,48669.76573644476,2020-12-17T19:13:58Z
3337145.8764391257,9.82397910765,48665.37398668807,2020-12-17T19:14:59Z
3346104.6969249886,5.4396113999999995,51285.588833190945,2020-12-17T19:16:00Z
3343251.155148558,8.105299248779,39206.17685416333,2020-12-17T19:17:00Z
3346374.9395114947,10.589231735382,40162.39693792522,2020-12-17T19:18:01Z
3343982.6850095363,10.128976973918,47787.27348122336,2020-12-17T19:19:02Z
3339032.2449401617,11.98787423,50225.25709178751,2020-12-17T19:20:02Z
3349439.5946942735,7.36722976,48144.501446679846,2020-12-17T19:21:03Z
3346028.335882622,5.41559459,50460.36421979628,2020-12-17T19:22:03Z
3341831.1084077973,6.15326781,49568.62158873192,2020-12-17T19:23:04Z
3337319.4794411245,5.318143249999999,50704.538003892114,2020-12-17T19:24:05Z
3339618.9006338166,4.64869704,51656.84481567424,2020-12-17T19:25:05Z
